ID,deal_title,deal_stage,year,month,day,deal_amount,currency,investor,is_lead,target,target_hq_city,target_hq_country,target_hq_state,target_url,target_year_founded,privco_pics_ids,mapped_profile_id,mapped_profile_type,mapped_profile_name,mapped_url,mapping_match_strength,mapping_review,text_url
1762,equity funding,Non-Startup Growth Companies,2017,6,16,600000000,USD,Tencent Holdings,1,Mobike,Beijing,China,Beijing,mobike.com,,"[402201, 1600, 1399999, 1500, 600310]",1061867,company,"Beijing Mobike Technology Co.,Ltd.",mobike.com,yes,,https://www.pehub.com/2017/06/chinese-start-up-mobike-gains-600-million-in-biggest-financing-round-to-date-reuters/
1762,equity funding,Non-Startup Growth Companies,2017,6,16,600000000,USD,Farallon Capital Management,0,Mobike,Beijing,China,Beijing,mobike.com,,"[402201, 1600, 1399999, 1500, 600310]",1061867,company,"Beijing Mobike Technology Co.,Ltd.",mobike.com,yes,,https://www.pehub.com/2017/06/chinese-start-up-mobike-gains-600-million-in-biggest-financing-round-to-date-reuters/
1762,equity funding,Non-Startup Growth Companies,2017,6,16,600000000,USD,BOCOM International Holdings,0,Mobike,Beijing,China,Beijing,mobike.com,,"[402201, 1600, 1399999, 1500, 600310]",1061867,company,"Beijing Mobike Technology Co.,Ltd.",mobike.com,yes,,https://www.pehub.com/2017/06/chinese-start-up-mobike-gains-600-million-in-biggest-financing-round-to-date-reuters/
1763,equity funding,Series C & Later Startups,2017,6,16,20000000,USD,Correlation Ventures,0,Entelo,San Francisco,United States,California,www.entelo.com,,"[1501547, 13015, 1501524, 1500, 1501505]",269212,company,"Entelo, Inc.",entelo.com,yes,,http://www.finsmes.com/2017/06/entelo-raises-20m-in-series-c-funding.html
1763,equity funding,Series C & Later Startups,2017,6,16,20000000,USD,Shasta Ventures,0,Entelo,San Francisco,United States,California,www.entelo.com,,"[1501547, 13015, 1501524, 1500, 1501505]",269212,company,"Entelo, Inc.",entelo.com,yes,,http://www.finsmes.com/2017/06/entelo-raises-20m-in-series-c-funding.html
1763,equity funding,Series C & Later Startups,2017,6,16,20000000,USD,Battery Ventures,0,Entelo,San Francisco,United States,California,www.entelo.com,,"[1501547, 13015, 1501524, 1500, 1501505]",269212,company,"Entelo, Inc.",entelo.com,yes,,http://www.finsmes.com/2017/06/entelo-raises-20m-in-series-c-funding.html
1763,equity funding,Series C & Later Startups,2017,6,16,20000000,USD,US Venture Partners,1,Entelo,San Francisco,United States,California,www.entelo.com,,"[1501547, 13015, 1501524, 1500, 1501505]",269212,company,"Entelo, Inc.",entelo.com,yes,,http://www.finsmes.com/2017/06/entelo-raises-20m-in-series-c-funding.html
1764,equity funding,Series A & B Startups,2017,6,16,8500000,USD,Ancora Advisors,1,Digital Global Systems,Beltsville,United States,Maryland,www.digitalglobalsystems.com,2013,"[1501317, 1501206, 1501525, 1500, 1501307, 10001]",1068874,company,Digital Global Systems,digitalglobalsystems.com,yes,,http://www.finsmes.com/2017/06/dgs-raises-8-5m-in-funding.html
1765,equity funding,Series A & B Startups,2017,6,16,17000000,USD,Barry Sternlicht,0,"Pivotal Commware, Inc.",Bellevue,United States,Washington,www.pivotalcommware.com,,"[1501506, 1501530, 1500, 1500220]",1118820,,,,,New,http://www.prnewswire.com/news-releases/pivotal-commware-lands-17m-series-a-from-the-thermo-companies---dig-investments---bill-gates-and-others-300475095.html
1765,equity funding,Series A & B Startups,2017,6,16,17000000,USD,Bill Gates,0,"Pivotal Commware, Inc.",Bellevue,United States,Washington,www.pivotalcommware.com,,"[1501506, 1501530, 1500, 1500220]",1118820,,,,,New,http://www.prnewswire.com/news-releases/pivotal-commware-lands-17m-series-a-from-the-thermo-companies---dig-investments---bill-gates-and-others-300475095.html
1765,equity funding,Series A & B Startups,2017,6,16,17000000,USD,Lux Capital,0,"Pivotal Commware, Inc.",Bellevue,United States,Washington,www.pivotalcommware.com,,"[1501506, 1501530, 1500, 1500220]",1118820,,,,,New,http://www.prnewswire.com/news-releases/pivotal-commware-lands-17m-series-a-from-the-thermo-companies---dig-investments---bill-gates-and-others-300475095.html
1765,equity funding,Series A & B Startups,2017,6,16,17000000,USD,Dig Investments,1,"Pivotal Commware, Inc.",Bellevue,United States,Washington,www.pivotalcommware.com,,"[1501506, 1501530, 1500, 1500220]",1118820,,,,,New,http://www.prnewswire.com/news-releases/pivotal-commware-lands-17m-series-a-from-the-thermo-companies---dig-investments---bill-gates-and-others-300475095.html
1765,equity funding,Series A & B Startups,2017,6,16,17000000,USD,The Thermo Companies,1,"Pivotal Commware, Inc.",Bellevue,United States,Washington,www.pivotalcommware.com,,"[1501506, 1501530, 1500, 1500220]",1118820,,,,,New,http://www.prnewswire.com/news-releases/pivotal-commware-lands-17m-series-a-from-the-thermo-companies---dig-investments---bill-gates-and-others-300475095.html
1766,equity funding,Series A & B Startups,2017,6,16,,USD,Gwc,1,StockViews,City of London,United Kingdom,England,www.stockviews.com,2015,"[1500, 600, 600701, 1300308, 1501536]",1118821,,,,,,http://www.finsmes.com/2017/06/stockviews-raises-new-equity-funding.html
